  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
M.S.M GLOBAL SERVICES,15/10/2014,HANN MARISTES N&#xB0; 14/B,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/msm-global-services, SNDKR2014B18093,1000000
SOCIETE DE COMMERCE TRANSPORTS ENTREPRISE DE BATIMENTS,10/10/2014,KHAR YALLA N&#xB0; 66,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/societe-de-commerce-transports-entreprise-de-batiments, SNDKR2014B17858,900000
GENERALE TECHNOLOGIE SERVICES SARL,17/10/2014,RESIDENCE MOURTADA VDN N&#xB0; 14,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/generale-technologie-services-sarl, SNDKR2014B18234 ,1000000
CAMINO SENEGAL - SARL,20/10/2014,AVE MALICK SY X AUTOROUTE 1ER...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/camino-senegal-sarl, SNDKR2014B18308,1000000
ALBIDA INTERNATIONAL CENTRE - SUARL,20/10/2014,CITE KEUR GORGUI SACRE COEUR...,S.U.A.R.L,CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/albida-international-centre-suarl, SNDKR2014B18303,500000
WM CAPITAL - SARL,20/10/2014,APPT 14  RESIDENCE ATLANTIS...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/wm-capital-sarl, SNDKR2014B18306,100000
FC GATEWAY SENEGAL -SUARL,20/10/2014,YOFF OCEAN PRES DE L&apos;...,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/fc-gateway-senegal-suarl, SNDKR2014B18324,400000
SENLUXE TOURS - SUARL,20/10/2014,LIBERTE 6 EXTENSION N&#xB0; 36,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/senluxe-tours-suarl, SNDKR2014B18332,1000000
NEGOCE INTERNATIONAL CORPORATION - SUARL,21/10/2014,SICAP LIBERTE 6 N&#xB0; 8170,S.U.A.R.L,TRANSPORT AERIEN/TRANSPORT MARITIME,http://www.creationdentreprise.sn/negoce-international-corporation-suarl, SNDKR2014B18404,1000000
ARCHI ALUMINIUM - SARL,21/10/2014,SODIDA LOT 36,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/archi-aluminium-sarl, SNDKR2014B18408,1000000
ENTREPRISE DE TRAVAUX DE LA VALLEE,09/09/2014,HLM GRAND YOFF N&#xB0; 39,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/entreprise-de-travaux-de-la-vallee, SNDKR2014B16051,Laréalisationdetravauxetlaprestationdeservicesdanslessecteursdel'eau,del'assainissement,del'agricultureetdel'environnement...
SN-CONSULTING - SARL,15/09/2014,SACRE COEUR 3 N&#xB0; 10184,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/sn-consulting-sarl, SNDKR2014B16386,500000
ADNET CONSULTING CORP LTD - SARL,16/09/2014,SACRE COEUR 3 N&#xB0; 9406,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/adnet-consulting-corp-ltd-sarl, SNDKR2014B16565,500000
OASIS-NTIC - SARL,16/09/2014,RUE 33 X 16 MEDINA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/oasis-ntic-sarl, SNDKR2014B16592,200000
MY-ICE CREAM - SARL,16/09/2014,568  AVE BOURGUIBA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/my-ice-cream-sarl, SNDKR2014B16586,1000000
SENEGAL METAL SARL,26/09/2014,ZONE A N&#xB0; 32,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/senegal-metal-sarl, SNDKR2014B17302,1000000
SENEGAL ATAC SUPERMARCHES - SA,11/08/2014,KM 7 5 ROUTE DE RUFISQUE,SOCIETE ANONYME (S.A),ALIMENTAIRE,http://www.creationdentreprise.sn/senegal-atac-supermarches-sa, SNDKR2014B14114,100000000
CONSEILS ASSISTANCE ET SERVICES JURIDIQUES - SARL,20/08/2014,HLM MARISTES IMM. C N&#xB0;20,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/conseils-assistance-et-services-juridiques-sarl, SNDKR2014B14908,1000000
SONI SUARL,26/09/2014,SOPRIM EXTENSION N&#xB0; 166,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/soni-suarl, SNDKR2014B17291,1000000
HDS-AFRICA - SUARL,25/09/2014,YOFF NDEUGAGNE DERRIERE...,S.U.A.R.L,SANTE,http://www.creationdentreprise.sn/hds-africa-suarl, SNDKR2014B17132,1000000
ABMADAMI - SARL,25/07/2014,CITE HILAL DALIFORT N&#xB0; 28,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/abmadami-sarl, SNDKR2014B13360,1000000
TOUBA KHAIRA TRADING,23/09/2014,HANN MARISTES N&#xB0; 47,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/touba-khaira-trading, SNDKR2014B17011,1000000
TOUBA TRANSPORTS N&apos;DINDY,23/07/2014,CENTRAL PARK AVE MALICK SY...,S.U.A.R.L,TRANSPORT AERIEN/TRANSPORT MARITIME,http://www.creationdentreprise.sn/touba-transports-ndindy, SNDKR2014B13107,1000000
SOS SERVICE SENEGAL - SUARL,01/08/2014,HLM GRAND MEDINE N&#xB0; 90,S.U.A.R.L,INDUSTRIE CULTURELLE,http://www.creationdentreprise.sn/sos-service-senegal-suarl, SNDKR2014A13573,1000000
MATIX - SUARL,23/07/2014,LIBERTE 6 EXTENSION LOT 8 N&#xB0;...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/matix-suarl, SNDKR2014B13095,1000000
ACAMBITRADE - SUARL,01/08/2014,CITE GENDARMERIE KEUR MASSAR...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/acambitrade-suarl, SNDKR2014B13585,1000000
DIOOBAAYE - SARL,16/09/2014,30  AVE EMILE BADIANE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/dioobaaye-sarl, SNDKR2014B16524,15000000,
SOCIETE POUR LE DEVELOPPEMENT DU SENEGAL,28/07/2014,CITE SONATEL 3 OUEST FOIRE N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/societe-pour-le-developpement-du-senegal, SNDKR2014B13374,1000000
PYLONE - SARL,14/08/2014,HLM GRAND YOFF SHELTER N&#xB0;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),HYDRAULIQUE,http://www.creationdentreprise.sn/pylone-sarl, SNDKR2014B14430,100000
COURTAGE ET PRESTATION DE SERVICES,31/07/2014,CITE KEUR GORGUI IMM. ELYSEE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/courtage-et-prestation-de-services, SNDKR2014B13541,500000
DAROU RAHMANE DISTRIBUTION,30/07/2014,MARCHE SEYDINA LIMAMOULAYE...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/darou-rahmane-distribution, SNDKR2014B13468,1000000
TRAVAUX SENEGALAIS METALLERIE INDUSTRIELLE,17/07/2014,RUE COLOBANE S/C GRIMALDI...,S.U.A.R.L,INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/travaux-senegalais-metallerie-industrielle, SNDKR2014B12479,100000
HOPE TRADE BTP,02/09/2014,ZONE DE CAPTAGE FRONT DE...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/hope-trade-btp, SNDKR2014B15530,100000
GROUPE WEST EVENT,01/09/2014,68  RTE DU FRONT DE TERRE IMM...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/groupe-west-event, SNDKR2014B15533,100000
SOCIETE D&apos;ETUDES TECHNIQUES ET REALISATION,25/07/2014,CITE TELE KHAR YALLA N&#xB0; 165,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/societe-detudes-techniques-et-realisation, SNDKR2014B13355,1000000
ROUGE AGENCY,08/08/2014,NORD FOIRE APPT 3 N&#xB0; 132,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/rouge-agency, SNDKR2014B14016 ,100000
ND TRANS-SERVICE,19/08/2014,HLM 5 N&#xB0; 2395,S.U.A.R.L,TRANSPORT,http://www.creationdentreprise.sn/nd-trans-service, SNDKR2014B14624,500000
APPLICATIONS MULTISERVICES ENTREPRISES SENEGAL,27/08/2014,12  BLD DJILY MBAYE COMPLEXE...,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/applications-multiservices-entreprises-senegal, SNDKR2014B15213,1000000
BANTU SUARL,26/09/2014,33  RUE BERANGER,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/bantu-suarl, SNDKR2014B17307,500000
SOCIETE AFRICAINE D&apos;AGRICULTURE ET D&apos;ELEVAGE SA,19/09/2014,FENETRE MERMOZ LOT N&#xB0; FM/9,SOCIETE ANONYME (S.A),ELEVAGE,http://www.creationdentreprise.sn/societe-africaine-dagriculture-et-delevage-sa, SNDKR2014B16825,0000000
DIRECT SECURITE PRIVE,30/07/2014,NORD FOIRE APECSY 2 N&#xB0; 897,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/direct-securite-prive, SNDKR2014B13435,1000000
GROUPE CICATRA AND CO.,07/08/2014,LIBERTE 6 EXTENSION IMM. ADJA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/groupe-cicatra-and-co, SNDKR2014B13948,1000000
SINOMA INTERNATIONAL ENGINEERING SENEGAL,18/08/2014,11  RUE MALAN IMM. ELECTRA 2...,SOCIETE ANONYME (S.A),MATERIAUX DE CONSTRUCTION,http://www.creationdentreprise.sn/sinoma-international-engineering-senegal, SNDKR2014B14556,10000000
CANTALK SN,24/09/2014,HANN MARISTES 2 ILOT Y 1E N&#xB0;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MARKETING / SPORT,http://www.creationdentreprise.sn/cantalk-sn, SNDKR2014B17138,1000000
ETABLISSEMENTS FALL,20/08/2014,OUEST FOIRE N&#xB0; 26,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/etablissements-fall, SNDKR2014B14902,1000000
TPRO-PLUS SENEGAL,14/08/2014,PATTE D&apos;OIE BUILDERS N&#xB0;...,S.U.A.R.L,SANTE,http://www.creationdentreprise.sn/tpro-plus-senegal, SNDKR2014B14433,1220000
SENLOGIC,21/08/2014,CITE ALIOU SOW N&#xB0; 405,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/senlogic, SNDKR2014B14851,100000
ART ET CONFORT INDUSTRIE,25/08/2014,GRAND MBAO EN FACE MOSQUEE...,S.U.A.R.L,MENUISERIE,http://www.creationdentreprise.sn/art-et-confort-industrie, SNDKR2014B14976,1000000
SOCIETE CIVILE IMMOBILIERE YAAZ,23/09/2010,PLACE DE L&apos;INDEPENDANCE...,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-immobiliere-yaaz, BORD, 1436 CASE 1436,10000000
LES NOUVEAUTES,10/03/2005,PLLES ASSAINIES U. 08 N&#xB0; 527,S.U.A.R.L,IMMOBILIER,http://www.creationdentreprise.sn/les-nouveautes, SNDKR2005B3205,5000000
AFROEURO PECHE,05/08/2014,GUEULE TAPEE RUE 65 X 50,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PECHE,http://www.creationdentreprise.sn/afroeuro-peche, SNDKR2014B13773,1000000
PYX LINKS INC,31/07/2014,SICAP DARABIS N&#xB0; 16,SUCCURSALE,COMMUNICATION,http://www.creationdentreprise.sn/pyx-links-inc, SNDKR2014E13485,
INSTITUT SUPERIEUR DE MARKETING APPROFONDI,21/07/2014,ESEA KM 6 AVE CHEIKH ANTA DIOP,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/institut-superieur-de-marketing-approfondi, SNDKR2014B132980,1000000
SOLUTIONS MARITIMES,08/09/2014,RUE DU PORT APPT C26 IMM. EX...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),HYDRAULIQUE,http://www.creationdentreprise.sn/solutions-maritimes, SNDKR2014B16137,1000000
AFRICA TRADING COMPANY,10/09/2014,HLM MARISTE APPT A2 N&#xB0; 97/S,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/africa-trading-company, SNDKR2014B16188,1000000
SENEGALO ITALIENNE DE CERAMIQUE,13/08/2014,CITE LONASE OUEST FOIRE N&#xB0; 43,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIAUX DE CONSTRUCTION,http://www.creationdentreprise.sn/senegalo-italienne-de-ceramique, SNDKR2014B14290,1000000
GENERAL SENEGALESE SAUDI COMPANY,18/08/2014,HLM GRAND YOFF RUE ASSANE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-INDUSTRIE,http://www.creationdentreprise.sn/general-senegalese-saudi-company, SNDKR2014B14549,1000000
SENEGALO-ESPAGNOL DE CONSTRUCTION,23/09/2014,LIBERTE 6 EXTENSION IMM. ADJA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/senegalo-espagnol-de-construction, SNDKR2014B17004,1000000
DIAGNE TRADING CORPORATION,25/04/2014,HLM 5 N&#xB0; 2538,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/diagne-trading-corporation, SNDKR2014B17655,1000000
BUSINESS STATION,23/09/2014,NORD FOIRE AZUR N&#xB0; 133,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/business-station, SNDKR2014B137001,100000
DIAMINE TP,20/08/2014,SACRE COEUR 1 N&#xB0; 8454,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/diamine-tp, SNDKR2014B14741,2000000
COMPTOIR COMMERCIAL NDIAYE ET FILS,12/08/2014,GUEULE TAPEE CAMBERENE N&#xB0; 44,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/comptoir-commercial-ndiaye-et-fils, SNDKR2014B14255,1000000
JD TRADE,24/07/2014,RUE 08 X 01 MEDINA,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/jd-trade, SNDKR2014B13295,1000000
AB TRADE AND SERVICES,06/08/2014,CITE CONACHAPE CAMP PENAL N&#xB0;...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/ab-trade-and-services, SNDKR2014B13819,500000
SELEBA GENERAL TRADING SENEGAL,12/08/2014,POINT E RUE A X AVE CHEIKH...,S.U.A.R.L,ALIMENTAIRE,http://www.creationdentreprise.sn/seleba-general-trading-senegal, SNDKR2014B14197,1000000
NABY SERVICES,12/08/2014,SODIDA ZONE INDUSTRIELLE 14...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/naby-services, SNDKR2014B14189,1000000
LOGISTIQUE ET TRANSIT POUR L&apos;AFRIQUE,25/07/2014,SODIDA LOT B,S.U.A.R.L,TRANSPORT AERIEN/TRANSPORT MARITIME,http://www.creationdentreprise.sn/logistique-et-transit-pour-lafrique, SNDKR2014B13358,1000000
LES JARDINS DE CHE,22/08/2014,YOFF ONOMO A COTE DE L&apos;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/les-jardins-de-che, SNDKR2014B14903,2000000
VIRGINA,22/08/2014,PLLES ASSAINIES U. 16 N&#xB0; 491,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ELEVAGE,http://www.creationdentreprise.sn/virgina, SNDKR2014B14901,500000
TOUBA REVISION POMPES INJECTEURS,23/07/2014,RUE 40 X 42 COLOBANE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENTRETIEN ET NETTOYAGE,http://www.creationdentreprise.sn/touba-revision-pompes-injecteurs, SNDKR2014B13078,1000000
PARM INTERNATIONAL,18/08/2014,SCAT URBAM MARISTES 1ER ETAGE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),RESTAURATION ET DEBITS DE BOISSONS,http://www.creationdentreprise.sn/parm-international, SNDKR2014B14519,1000000
V.K.T DRILLINGS,10/09/2014,HANN MARISTES 2 X LOT 16 1ER...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/vkt-drillings, SNDKR2014B16201,1000000
KORYA INGENIERIE,25/08/2014,CITE LEOPOLD SEDAR SENGHOR...,SOCIETE ANONYME (S.A),FINANCE,http://www.creationdentreprise.sn/korya-ingenierie, SNDKR2014B14996,10000000
INTERGROUP,01/08/2014,SICAP AMITIE 3 N&#xB0; 4608,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/intergroup, SNDKR2014B13594,10000000
TOKOSSEL,11/09/2014,4  AVE BIRAGO DIOP POINT E,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/tokossel, SNDKR2014B16292,10000000
GLOBAL SALES,01/09/2014,COMPLEXE SICAP POINT IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/global-sales, SNDKR2014B15494,1000000
LINK SENEGAL,18/08/2014,MERMOZ PYROTECHNIE N&#xB0; 54,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/link-senegal, SNDKR2014B14487,500000
OPTIMA SOLUTION,18/07/2014,RUE 33 X 28 MEDINA,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/optima-solution, SNDKR2014B12835,1000000
DAKAR ANNONCES,18/07/2014,CITE SONATEL 2 N&#xB0; 52,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MEDIAS,http://www.creationdentreprise.sn/dakar-annonces, SNDKR2014B12842,1170000
GENERAL ALU,10/09/2014,OUEST FOIRE N&#xB0; 32,S.U.A.R.L,INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/general-alu, SNDKR2014B16134,1000000
ADVISION,06/08/2014,VDN EN FACE MERMOZ N&#xB0; 10,S.U.A.R.L,MEDIAS,http://www.creationdentreprise.sn/advision, SNDKR2014B1356,1000000
SERVCO SENEGAL,10/06/2014,AVE BOURGUIBA SICAP BAOBAB...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/servco-senegal, SNDKR2014B10319,1000000
SOCIETE AFRICAINE D&apos;INVESTISSEMENT ET DE CONSEIL,21/08/2014,43  RUE MOHAMED X JULES FERRY...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/societe-africaine-dinvestissement-et-de-conseil, SNDKR2014B14855,1000000
S.D.F ENERGIES NOUVELLES,22/08/2014,CITE HAMO HLM GRAND YOFF N&#xB0; K...,S.U.A.R.L,ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/sdf-energies-nouvelles, SNDKR2014B14910,1560000
WILLANE BUSINESS COMPANY,21/06/2014,LIBERTE 6 EXTENSION N&#xB0; 133,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/willane-business-company, SNDKR2014B12973,1000000
KEBE FUTUR CONSTRUCTIONS,11/08/2014,CAMBERENE 1,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/kebe-futur-constructions, SNDKR2014B14131,1000000
MILLENIUM CONNECT AFRICA,11/08/2014,ZONE A N&#xB0; 18/A,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/millenium-connect-africa, SNDKR2014B14133,1000000
AS. CONSTRUCTIONS,08/08/2014,LIBERTE 6 EXTENSIONS N&#xB0; 41,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/constructions, SNDKR2014B14017,500000
CABINET DE CONSULTANCE TECHNIQUE,03/09/2014,OUEST FOIRE N&#xB0; 10,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/cabinet-de-consultance-technique, SNDKR2014B15695,1000000
TRANSPORT-VENTE & LOCATION,20/08/2014,PLLES ASSAINIES UNITE 16 N&#xB0;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/transport-vente-location, SNDKR2014B14739,1000000
SIKASEN,06/08/2014,AMITIE 3 N&#xB0; 4023,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-ALIMENTAIRE,http://www.creationdentreprise.sn/sikasen, SNDKR2014B13859,1000000
WAKEUR EL HADJI MALICK SY BABA GUENE,30/07/2014,HANN MARISTES 2 N&#xB0; P47,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/wakeur-el-hadji-malick-sy-baba-guene, SNDKR2014B13467,1000000
HORIZON-EXPO,21/07/2014,STADE DE NGOR LOT 18,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/horizon-expo, SNDKR2014B12972,1000000
SOCIETE CIVILE IMMOBILIERE DIAGADINE,05/09/2014,133  NORD FOIRE,SOCIETE CIVILE,IMMOBILIER,http://www.creationdentreprise.sn/societe-civile-immobiliere-diagadine, SNDKR2014B15813,510000
SEN DIMBEUL,06/08/2014,HLM GRAND YOFF N&#xB0; 504,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/sen-dimbeul, SNDKR2014B13877,1000000
SUN AL,19/05/2014,RUE 3 X C POINT E IMM. 76/A...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/sun-al, SNDKR2014B9163,1000000
GROUPE BAAXUMAAM,23/07/2014,LIBERTE 6 EXTENSION N&#xB0; 16,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-baaxumaam, SNDKR2014B13080,1000000
GLOBAL TRANSFERT SENEGAL,23/07/2014,18  AVE PETERSEN,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),CABINETS CONSEILS JURIDIQUES(DROIT/FISCALITE),http://www.creationdentreprise.sn/global-transfert-senegal, SNDKR2014B13104,1000000
KADER TEXTILES,08/08/2014,HLM HANN MARISTES N&#xB0; 55,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/kader-textiles, SNDKR2014B14018,1000000
TAM TAM UNIVERSAL TRADING & INVESTMENT COMPANY,01/08/2014,SICAP KEUR GORGUI IMM. HERMES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/tam-tam-universal-trading-investment-company, SNDKR2014B13569,1000000